101,TAPEBRIDGE_RECEIVED_FILETOMIGRATE_DEPRECATED,"Received FileToMigrate from client"
102,TAPEBRIDGE_SENT_FILETORECALLREQUEST_DEPRECATED,"Sent FileToRecallRequest to client"
103,TAPEBRIDGE_RECEIVED_FILETORECALL_DEPRECATED,"Received FileToRecall from client"
104,TAPEBRIDGE_SENT_FILEMIGRATEDNOTIFICATION_DEPRECATED,"Sent FileMigratedNotification to client"
105,TAPEBRIDGE_SENT_FILERECALLEDNOTIFICATION_DEPRECATED,"Sent FileRecalledNotification to client"
106,TAPEBRIDGE_RECEIVED_NOMOREFILES,"Recieved NoMoreFiles from client"
107,TAPEBRIDGE_RECEIVED_ACK_OF_NOTIFICATION,"Recieved acknowledge of notification from client"
108,TAPEBRIDGE_RECEIVED_ENDNOTIFCATIONERRORREPORT,"Received EndNotificationErrorReport from client"
109,TAPEBRIDGE_RECEIVED_NOTIFCATIONACKNOWLEDGE,"Received NotificationAcknowledge from client"
110,TAPEBRIDGE_SEND_END_OF_SESSION_TO_RTCPD,"Sending end-of-session to RTCPD"
111,TAPEBRIDGE_FAILED_TO_PARSE_TPCONFIG,"Failed to parse TPCONFIG file"
112,TAPEBRIDGE_PARSED_TPCONFIG,"Parsed TPCONFIG"
113,TAPEBRIDGE_CLOSED_RTCPD_DISK_TAPE_CONNECTION_DUE_TO_PEER,"Closed rtcpd disk/tape IO control connection due to rtcpd closing its end"
114,TAPEBRIDGE_TOO_MANY_DRIVES_IN_TPCONFIG,"There are more drives in the TPCONFIG file than there were when tapebridged was started.  Please restart tapebridged."
115,TAPEBRIDGE_RECEIVED_TAPEBRIDGE_FLUSHEDTOTAPE,"Received TAPEBRIDGE_FLUSHEDTOTAPE"
116,TAPEBRIDGE_CONFIG_PARAM,"Determined value of configuration parameter"
117,TAPEBRIDGE_NOTIFY_CLIENT_END_OF_FAILED_SESSION_DUE_TO_FILE,"Notifying client end of failed session due to failed copy of tape file"
118,TAPEBRIDGE_NOTIFIED_CLIENT_END_OF_FAILED_SESSION_DUE_TO_FILE,"Notified client end of failed session due to failed copy of tape file"
119,TAPEBRIDGE_FILE_WRITTEN_WITHOUT_FLUSH,"File written without flush"
120,TAPEBRIDGE_FILE_READ,"File read"
121,TAPEBRIDGE_ADDED_PENDING_MIGRATION_TO_STORE,"Added pending file-migration to store"
122,TAPEBRIDGE_MARKED_PENDING_MIGRATION_WRITTEN_WITHOUT_FLUSH,"Marked pending file-migration in store as written without flush"
123,TAPEBRIDGE_SENT_FILESTOMIGRATELISTREQUEST,"Sent FilesToMigrateListRequest to client"
124,TAPEBRIDGE_SENT_FILESTORECALLLISTREQUEST,"Sent FilesToRecallListRequest to client"
125,TAPEBRIDGE_RECEIVED_FILESTOMIGRATELIST,"Received FilesToMigrateList from client"
126,TAPEBRIDGE_RECEIVED_FILESTORECALLLIST,"Received FilesToRecallList from client"
127,TAPEBRIDGE_SENT_FILEMIGRATIONREPORTLIST,"Sent FileMigrationReportList to client"
128,TAPEBRIDGE_SENT_FILERECALLREPORTLIST,"Sent FileRecallReportList to client"
129,TAPEBRIDGE_NOTIFIED_CLIENT_END_OF_SESSION_DUE_TO_FAILED_MIGRATION,"Notified client of end of session due to failed migration"
130,TAPEBRIDGE_NOTIFIED_CLIENT_END_OF_SESSION_DUE_TO_FAILED_RECALL,"Notified client of end of session due to failed recall"
131,TAPEBRIDGE_RECEIVED_RTCP_WAITING,"Received an RTCP_WAITING message"
132,TAPEBRIDGE_RECEIVED_RTCP_WAITING_ERROR,"Received an RTCP_WAITING error message"
