SQL> select VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name fileclass,
  2         (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end) isSmallFile,
  3         count(*), sum(cns_file_metadata.filesize)
  4    from cns_seg_metadata, cns_file_metadata, cns_class_metadata, VMGR.vmgr_tape_side
  5   where cns_seg_metadata.s_fileid = cns_file_metadata.fileid
  6     and cns_file_metadata.fileclass = cns_class_metadata.classid
  7     and cns_seg_metadata.vid = VMGR.vmgr_tape_side.VID
  8   group by VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name,
  9            (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end)
 10   order by cns_class_metadata.name, cns_seg_metadata.copyno, VMGR.vmgr_tape_side.poolname, isSmallFile;

POOLNAME            COPYNO FILECLASS       ISSMALLFILE   COUNT(*) SUM(CNS_FILE_METADATA.FILESIZE)
atlas_raw_08             1 atlas_aod                 1         11 383447040
vatlas_m4_07             1 atlas_aod                 1          5 858017048
vatlas_prod_08           1 atlas_aod                 0      26382 2.3259E+13
vatlas_prod_08           1 atlas_aod                 1     165962 1.2169E+13
atlas_prod_08            1 atlas_esd                 0    1905173 3.0470E+15
atlas_prod_08            1 atlas_esd                 1     911827 8.6034E+13
atlas_user               1 atlas_esd                 1          1 19375856
vatlas_prod_08           1 atlas_esd                 0       2234 2.7870E+12
vatlas_prod_08           1 atlas_esd                 1        672 5.9594E+10
atlas_aod_08             1 atlas_prod                0       1887 3.2020E+12
atlas_aod_08             1 atlas_prod                1        667 8.2440E+10
atlas_esd_08             1 atlas_prod                0       4735 9.7942E+12
atlas_esd_08             1 atlas_prod                1       1840 1.8492E+11
atlas_m4_07              1 atlas_prod                0       7529 1.6070E+13
atlas_m4_07              1 atlas_prod                1       5460 4.3491E+11
atlas_prod_08            1 atlas_prod                0    2200833 3.8544E+15
atlas_prod_08            1 atlas_prod                1    2935538 2.6039E+14
atlas_raw_08             1 atlas_prod                0       6480 1.3287E+13
atlas_raw_08             1 atlas_prod                1       2988 2.7809E+11
user_new                 1 atlas_prod                0          1 6373318017
vatlas_m4_07             1 atlas_prod                0       1434 2.8783E+12
vatlas_m4_07             1 atlas_prod                1        511 5.5161E+10
vatlas_prod_08           1 atlas_prod                0      14210 3.4050E+13
vatlas_prod_08           1 atlas_prod                1       6590 5.6568E+11
atlas_prod_08            2 atlas_prod                0         22 6.6486E+10
atlas_aod_08             1 atlas_raw                 0         83 8.5161E+10
atlas_aod_08             1 atlas_raw                 1         63 3872704521
atlas_esd_08             1 atlas_raw                 0        608 7.9759E+11
atlas_esd_08             1 atlas_raw                 1        528 2.8240E+10
atlas_m4_07              1 atlas_raw                 0       1426 1.6495E+12
atlas_m4_07              1 atlas_raw                 1       1018 6.7519E+10
atlas_prod_08            1 atlas_raw                 0       1828 2.9086E+12
atlas_prod_08            1 atlas_raw                 1        907 5.5818E+10
atlas_raw_08             1 atlas_raw                 0    3528006 5.6041E+15
atlas_raw_08             1 atlas_raw                 1    1439847 1.3561E+14
user_new                 1 atlas_raw                 0         83 1.0158E+11
user_new                 1 atlas_raw                 1       2526 1.5283E+10
vatlas_m4_07             1 atlas_raw                 0        144 2.1929E+11
vatlas_m4_07             1 atlas_raw                 1         70 3964346028
vatlas_raw_08            1 atlas_raw                 0        581 1.2344E+12
vatlas_raw_08            1 atlas_raw                 1         16 1634655525
atlas_raw_08             2 atlas_raw                 0         30 2.2231E+10
atlas_raw_08             2 atlas_raw                 1         43 3257641900
atlas_m4_07              1 atlas_recycle1w           1          2 165495764
atlas_prod_08            1 atlas_recycle1w           0          1 837739240
atlas_prod_08            1 atlas_recycle1w           1          2 52599860
atlas_raw_08             1 atlas_recycle1w           1       1202 3658010000
atlas_testdata           1 atlas_recycle1w           0      73538 1.1340E+14
atlas_testdata           1 atlas_recycle1w           1      80514 3.8827E+12
user_new                 1 atlas_recycle1w           1          1 6
atlas_m4_07              1 atlas_test                1     559121 1.3583E+12
atlas_raw_08             1 atlas_test                1          5 16200000
vatlas_m4_07             1 atlas_test                1      17037 4.1547E+10
atlas_m4_07              2 atlas_test                1          1 3000000
atlas1                   1 atlasdc                   0        106 4.3227E+10
atlas1                   1 atlasdc                   1       1559 1.2133E+11
vatlas1                  1 atlasdc                   1          3 646801200
vatlas2                  1 atlasdc                   0        176 6.4882E+10
vatlas2                  1 atlasdc                   1       1488 1.0209E+11
atlas1                   1 atlastestbeam             0       6571 4.1070E+12
atlas1                   1 atlastestbeam             1      74917 2.1419E+12
atlas2                   1 atlastestbeam             0       4412 2.8252E+12
atlas2                   1 atlastestbeam             1      43766 1.4787E+12
atlas_m4_07              1 atlastestbeam             0        948 7.7291E+11
atlas_m4_07              1 atlastestbeam             1        426 5.1466E+10
atlas_new1               1 atlastestbeam             0         19 4.8320E+10
atlas_new1               1 atlastestbeam             1         51 1831009682
atlas_new2               1 atlastestbeam             0        383 3.9531E+11
atlas_new2               1 atlastestbeam             1        337 8413959062
vatlas1                  1 atlastestbeam             0       1196 7.3577E+11
vatlas1                  1 atlastestbeam             1       6762 3.1016E+11
vatlas2                  1 atlastestbeam             0       3824 2.2831E+12
vatlas2                  1 atlastestbeam             1      37155 1.1903E+12
vatlas_m4_07             1 atlastestbeam             0       1483 1.2114E+12
vatlas_m4_07             1 atlastestbeam             1        670 7.5925E+10
vatlas_new1              1 atlastestbeam             0         66 1.5063E+11
vatlas_new1              1 atlastestbeam             1        115 4800028280
vatlas_new2              1 atlastestbeam             0        270 2.6657E+11
vatlas_new2              1 atlastestbeam             1        153 6050303662
vatlas_prod_08           1 atlastestbeam             0        449 2.5724E+11
vatlas_prod_08           1 atlastestbeam             1       1571 4.2379E+10
atlas1                   2 atlastestbeam             0       7302 4.4942E+12
atlas1                   2 atlastestbeam             1      72502 2.2739E+12
atlas2                   2 atlastestbeam             0       3977 2.4810E+12
atlas2                   2 atlastestbeam             1      42188 1.2914E+12
atlas_m4_07              2 atlastestbeam             0        901 7.2172E+11
atlas_m4_07              2 atlastestbeam             1        425 5.1566E+10
atlas_new1               2 atlastestbeam             0        425 4.7551E+11
atlas_new1               2 atlastestbeam             1        347 9452849936
atlas_new2               2 atlastestbeam             0          8 5840834572
atlas_new2               2 atlastestbeam             1          5 261569720
user_small               2 atlastestbeam             0         68 2.6115E+10
user_small               2 atlastestbeam             1        630 1.1118E+10
vatlas1                  2 atlastestbeam             0       1240 7.9953E+11
vatlas1                  2 atlastestbeam             1       9339 4.2185E+11
vatlas2                  2 atlastestbeam             0       3602 2.2565E+12
vatlas2                  2 atlastestbeam             1      38005 1.1254E+12
vatlas_m4_07             2 atlastestbeam             0       1472 1.2171E+12
vatlas_m4_07             2 atlastestbeam             1        648 7.2584E+10
vatlas_new1              2 atlastestbeam             0        294 3.6087E+11
vatlas_new1              2 atlastestbeam             1        295 1.0706E+10
vatlas_new2              2 atlastestbeam             0         11 1.8605E+10
vatlas_new2              2 atlastestbeam             1          9 674393944
vatlas_prod_08           2 atlastestbeam             0        321 1.9643E+11
vatlas_prod_08           2 atlastestbeam             1       1531 4.2982E+10
atlas1                   3 atlastestbeam             0         15 1.4309E+10
atlas1                   3 atlastestbeam             1         47 3353931465
atlas2                   3 atlastestbeam             0         32 3.2873E+10
atlas2                   3 atlastestbeam             1        199 3158317823
user_small               3 atlastestbeam             0          1 474567204
user_small               3 atlastestbeam             1          1 9486994
vatlas1                  3 atlastestbeam             0         18 1.9340E+10
vatlas1                  3 atlastestbeam             1          1 257040000
vatlas2                  3 atlastestbeam             0          7 8594246087
vatlas2                  3 atlastestbeam             1        144 1112372085
vatlas_prod_08           3 atlastestbeam             1          1 76334400
atlas1                   4 atlastestbeam             0         37 3.9318E+10
atlas1                   4 atlastestbeam             1        310 3174929683
atlas2                   4 atlastestbeam             0          1 1074461720
atlas2                   4 atlastestbeam             1          5 22209912
vatlas2                  4 atlastestbeam             0         16 1.7191E+10
vatlas2                  4 atlastestbeam             1         21 2149458813
atlas1                   5 atlastestbeam             0          1 1074461720
atlas2                   5 atlastestbeam             0          1 2147483647
vatlas1                  5 atlastestbeam             1          1 257076000
atlas1                   6 atlastestbeam             0          1 2147483647
atlas1                   6 atlastestbeam             1          1 257076000
atlas1                   7 atlastestbeam             0          1 2147483647
atlas1                   8 atlastestbeam             0          1 2147483647
cms_t10k                 1 c3_copy                   0          2 1.2708E+10
cms_user                 1 c3_copy                   0          8 4.5733E+11
default                  1 c3_copy                   0         51 1.5795E+10
default                  1 c3_copy                   1      15416 8.2946E+11
lep_data                 1 c3_copy                   0     158252 8.4962E+13
lep_data                 1 c3_copy                   1    1581717 1.3031E+14
lhcb_raw_new             1 c3_copy                   1          1 21764944
public_user              1 c3_copy                   0        257 3.3200E+11
public_user              1 c3_copy                   1       1695 4.3796E+10
tape_dev                 1 c3_copy                   0      37898 7.5796E+13
user_new                 1 c3_copy                   0      24349 2.1193E+13
user_new                 1 c3_copy                   1     448963 1.2914E+13
user_small               1 c3_copy                   0        159 1.2891E+11
user_small               1 c3_copy                   1      24734 1.2442E+12
vlep_data                1 c3_copy                   0        960 5.3786E+11
vlep_data                1 c3_copy                   1      12418 7.5642E+11
vuser_new                1 c3_copy                   0         29 1.9335E+10
vuser_new                1 c3_copy                   1       1268 2.4391E+10
lep_data                 2 c3_copy                   0       1029 6.9233E+11
lep_data                 2 c3_copy                   1      73553 3.3256E+12
vlep_data                2 c3_copy                   0          4 1464330311
vlep_data                2 c3_copy                   1        399 1.8540E+10
default                  3 c3_copy                   1          2 28158720
lep_data                 3 c3_copy                   0         15 7601518272
lep_data                 3 c3_copy                   1        100 4207912880
user_small               3 c3_copy                   1          1 191289600
vlep_data                3 c3_copy                   1          1 186948000
lep_data                 4 c3_copy                   1         13 239993280
lep_data                 5 c3_copy                   1          3 58903200
lep_data                 6 c3_copy                   1          1 20023200
user_new                 1 c3tapeworks               1        999 1.3408E+11
user_new                 2 c3tapeworks               1        999 1.3408E+11
cdrpool                  1 cast                      0          3 5006730244
cdrpool                  1 cast                      1         15 982879940
default                  1 cast                      0        171 1.0146E+11
default                  1 cast                      1      19150 1.1905E+11
lep_data                 1 cast                      0       4044 2.6107E+12
lep_data                 1 cast                      1     197190 1.6949E+12
na61                     1 cast                      0         13 8481457492
na61                     1 cast                      1         12 1040892276
ntof                     1 cast                      0         61 5.2632E+10
ntof                     1 cast                      1        206 6186645524
public_user              1 cast                      0       2999 2.7789E+12
public_user              1 cast                      1       2519 1.7427E+11
user_new                 1 cast                      0       3887 2.7487E+12
user_new                 1 cast                      1       5780 4.0988E+11
user_small               1 cast                      1         17 838009398
vlep_data                1 cast                      0         87 5.9213E+10
vlep_data                1 cast                      1        114 1.4969E+10
lep_data                 2 cast                      1          6 35256239
lep_data                 1 castcdr                   0        400 2.4504E+11
lep_data                 1 castcdr                   1       3899 5.8658E+10
user_small               1 castcdr                   1         21 765040279
lep_data                 2 castcdr                   0        400 2.4504E+11
lep_data                 2 castcdr                   1       3919 5.9402E+10
user_small               2 castcdr                   1          1 20939980
lep_data                 3 castcdr                   1          1 256510080
lep_data                 1 castor_fio                0        749 1.2302E+12
lep_data                 1 castor_fio                1       6702 1.1350E+12
user_new                 1 castor_fio                0         93 1.2677E+11
user_new                 1 castor_fio                1          2 89830564
lep_data                 2 castor_fio                0          8 9846110648
lep_data                 2 castor_fio                1          1 83814072
lep_data                 3 castor_fio                0          1 1293548468
alice_new2               1 ceres                     1          1 1654759
cdrpool                  1 ceres                     1         65 671497364
default                  1 ceres                     0         65 2.1321E+10
default                  1 ceres                     1      14723 2.2028E+11
lep_data                 1 ceres                     0       7477 2.8163E+12
lep_data                 1 ceres                     1     282001 2.5926E+13
na61                     1 ceres                     1         52 1512771020
ntof                     1 ceres                     0         12 7362537804
ntof                     1 ceres                     1        276 6206360133
public_user              1 ceres                     0          2 1557877176
public_user              1 ceres                     1      30012 1.4724E+12
user_new                 1 ceres                     0       6048 4.7850E+12
user_new                 1 ceres                     1     188598 4.1688E+12
vlep_data                1 ceres                     0        186 6.9710E+10
vlep_data                1 ceres                     1       3842 4.3699E+11
vuser_new                1 ceres                     1         49 700408276
default                  2 ceres                     1          8 36706
lep_data                 2 ceres                     1        825 1.3126E+11
user_small               2 ceres                     1          1 20312740
lep_data                 1 chorus                    0      14184 9.2335E+12
lep_data                 1 chorus                    1     106768 6.8815E+12
lep_data                 2 chorus                    0          4 1298430000
lep_data                 2 chorus                    1         16 1362878910
lep_data                 3 chorus                    1          1 175666
lep_data                 1 chorus_objy               0        680 6.2106E+11
lep_data                 1 chorus_objy               1      13820 5.6530E+11
lep_data                 1 chorus_user               0        112 1.2510E+11
lep_data                 1 chorus_user               1        577 2.2241E+10
ntof                     1 chorus_user               1          6 15282
user_new                 1 chorus_user               1        105 241781
